"row_id","worksheet_version","review_pool_variant","paper_id","openalex_work_id","work_id","title","year","citation_count","source_slug","topics","abstract_preview","sample_reason","ranking_run_id","family","final_score","rank_in_family","relevance_label","novelty_label","bridge_like_label","reviewer_notes"
"81658c45f3f0949b8b626455fd3cc723f0ca6a5a510bb90496bc007d625b1770","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7128720537","W7128720537","W7128720537","Serial cascaded hybrid adaptive deep networks-based lyrics text classification using optimization approach","2026","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.169169","169","good","useful","not_applicable","lyrics text classification with hybrid deep networks; core MIR/music-NLP classification research."
"921670286a9365586612cae56643934a4d629c76a4671b8ca5939c2e6da28410","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7117685190","W7117685190","W7117685190","Reading Music or Reading Notes? Rethinking Musical Stimuli in Eye-Movement Research","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.168522","185","miss","obvious","not_applicable","eye-movement study of reading music vs note notation; music-cognition/psychology, not MIR, audio ML, or recsys discovery."
"547859843fb3a92f3e72585600a522487257f0f283cf9353c9ad9eea86e85944","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4414803123","W4414803123","W4414803123","An Agent-Based Framework for Automated Higher-Voice Harmony Generation","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.168149","190","good","useful","not_applicable","agent-based automated higher-voice harmony generation; generative symbolic music / music AI research."
"9be0287e58c5d05ee53f0b6bce1a940f808e55a16dc670d9c8cb7a82bc6762c9","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4416740637","W4416740637","W4416740637","Emotion induction by western music across personality types using internet of things technology","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.167953","194","miss","obvious","partial","western-music emotion induction across personality types with IoT; psychology/experiment study, not MIR or recsys method research."
"6816038b5ed2dd9110e9b6491b2ad1b1cb970eb0cee495f7b0e05af0416b63ad","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4414769078","W4414769078","W4414769078","Application of Long Short-Term Memory Intelligent Algorithm in Automatic Classification System","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.167713","198","miss","obvious","not_applicable","generic LSTM automatic classification system; no music/audio/MIR scope in title or discovery relevance."
"cfc4081b4e19db89cabcd30d147e7870db5d5419923ec31d39e860cfb6629575","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4415156773","W4415156773","W4415156773","Blooming Beats: An Interactive Explainable Recommender System for Exploring Personal Music Narratives through Data Humanism Principles","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.167617","199","good","useful","not_applicable","interactive explainable music recommender for personal music narratives; core music recsys / discovery UX research (emerging family)."
"f5725d64b85c91cad0dee2a76eb4d6c27e94d83f00e8c287c804da23229125e1","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7130737154","W7130737154","W7130737154","HUMMUS: A Human-Centered Approach to Sequential Recommendation Explainability through Data Humanism","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.166937","209","miss","useful","partial","sequential recommendation explainability via data humanism (HUMMUS); generic recsys framing, not music-focused MIR discovery."
"951c6f97b282b0a281d65891e7803f17361f3242404251eded021b9ea93d7550","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4415097458","W4415097458","W4415097458","Moises-Light: Resource-efficient Band-split U-Net For Music Source Separation","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.166448","214","good","useful","not_applicable","Moises-Light band-split U-Net for music source separation; core MIR audio separation research."
"b8f4829cfceb60cfbf282876cd3601f75a9f8760f9a56a1211364711ce32436c","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7127102095","W7127102095","W7127102095","Context-Enriched Temporal Knowledge Graph with Reinforcement Learning for Adaptive Music Recommendation in Entertainment Platforms","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.165696","224","good","useful","not_applicable","temporal knowledge graph plus RL for adaptive music recommendation; core music recsys research (emerging family)."
"9eae71d95b8c692b2301795b4abf2b17a74bc10060d9cd6bd4594ddae0943fbb","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4415111656","W4415111656","W4415111656","Methods for Pitch Analysis in Contemporary Popular Music: Multiple Pitches From Harmonic Tones in Vitalic's Music","2026","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.1652","234","acceptable","useful","not_applicable","pitch-analysis methods for contemporary popular music (case study); music-analysis methodology, adjacent-tier vs core MIR task papers."
"2e317a26c30014181017cb8e8fedd7e852254d74e2fda7d48202a15d1f745cae","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4415149884","W4415149884","W4415149884","A Literature Review on an Emotion Based Music Recommendation System","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.165089","235","miss","obvious","partial","literature review on emotion-based music recommendation systems; survey paper, not primary MIR/recsys discovery research."
"6b688aa7daa3ba25db02184b6abb69aac8eb39fa7f480b8e214fadbf94476163","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7156140413","W7156140413","W7156140413","PianoCoRe: Combined and Refined Piano MIDI Dataset","2026","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.164629","240","good","useful","not_applicable","PianoCoRe combined refined piano MIDI dataset; core symbolic MIR dataset resource."
